i,split,status,source,aligned,alignment,cost,gt,aligned_gt,score,dataset_time,align_time,automata_learning_time,use_cache,determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,generation_strategy,jaccard_threshold,timestamp
0,"(None, 1, 0)",good,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,114","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_114,del_165",1,"(7,)","(15,)",0.0,96.242,0.994,1.518,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 13:52:56"
0,"(None, 1, 0)",good,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,114","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_114,del_165",1,"((7,), (7,), (7,), (10,), (0, 7), (7,), (0, 7), (15,), (0, 5, 7), (7,))","((15,), (0, 15), (0, 7), (0, 1, 14, 15), (0, 15), (0, 7), (15, 7), (7,), (0, 15), (0, 5, 15))",0.609,91.559,0.964,1.417,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:19:21"
0,"(None, 1, 0)",good,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,114","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_114,del_165",1,"[{7}, {7}, {7}, {10}, {0, 7}, {7}, {0, 7}, {15}, {0, 5, 7}, {7}]","[{15}, {0, 15}, {0, 7}, {0, 1, 14, 15}, {0, 15}, {0, 7}, {15, 7}, {7}, {0, 15}, {0, 5, 15}]",0.609,97.083,0.967,1.409,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
0,"(None, 10, 0)",good,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,114","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_114,del_165",1,"[{7}, {7}, {7}, {10}, {0, 7}, {7}, {0, 7}, {15}, {0, 5, 7}, {7}]","[{15}, {0, 15}, {0, 7}, {0, 1, 14, 15}, {0, 15}, {0, 7}, {15, 7}, {7}, {0, 15}, {0, 5, 15}]",0.609,97.083,50.96,1.523,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
0,"(None, 1, 5)",NoTargetStatesError,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,114","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_114,del_165",1,"[{7}, {7}, {7}, {10}, {0, 7}, {7}, {0, 7}, {15}, {0, 5, 7}, {7}]","[{15}, {0, 15}, {0, 7}, {0, 1, 14, 15}, {0, 15}, {0, 7}, {15, 7}, {7}, {0, 15}, {0, 5, 15}]",0.609,97.083,50.96,1.523,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
0,"(None, 5, 5)",NoTargetStatesError,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,114","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_114,del_165",1,"[{7}, {7}, {7}, {10}, {0, 7}, {7}, {0, 7}, {15}, {0, 5, 7}, {7}]","[{15}, {0, 15}, {0, 7}, {0, 1, 14, 15}, {0, 15}, {0, 7}, {15, 7}, {7}, {0, 15}, {0, 5, 15}]",0.609,97.083,50.96,1.523,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
0,"(None, 10, 5)",NoTargetStatesError,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,114","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_114,del_165",1,"[{7}, {7}, {7}, {10}, {0, 7}, {7}, {0, 7}, {15}, {0, 5, 7}, {7}]","[{15}, {0, 15}, {0, 7}, {0, 1, 14, 15}, {0, 15}, {0, 7}, {15, 7}, {7}, {0, 15}, {0, 5, 15}]",0.609,97.083,50.96,1.523,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
1,"(None, 1, 0)",good,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,1","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,sync_536,del_719,add_1",1,"[{11, 1, 3, 7}, {9, 12}, {16, 14}, {12, 15}, {16, 1}, {7}, {12, 15}, {3, 5}, {16, 13, 7}, {9, 12, 5, 15}]","[{11, 1, 3, 7}, {7}, {7}, {16, 7}, {7}, {12, 15}, {15, 7}, {15, 7}, {16, 13, 7}, {15, 5, 7}]",0.653,93.95,4.522,1.083,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
1,"(None, 10, 0)",good,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,1","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,sync_536,del_719,add_1",1,"[{11, 1, 3, 7}, {9, 12}, {16, 14}, {12, 15}, {16, 1}, {7}, {12, 15}, {3, 5}, {16, 13, 7}, {9, 12, 5, 15}]","[{11, 1, 3, 7}, {7}, {7}, {16, 7}, {7}, {12, 15}, {15, 7}, {15, 7}, {16, 13, 7}, {15, 5, 7}]",0.653,93.95,41.915,1.0,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
1,"(None, 1, 5)",NoTargetStatesError,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,1","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,sync_536,del_719,add_1",1,"[{11, 1, 3, 7}, {9, 12}, {16, 14}, {12, 15}, {16, 1}, {7}, {12, 15}, {3, 5}, {16, 13, 7}, {9, 12, 5, 15}]","[{11, 1, 3, 7}, {7}, {7}, {16, 7}, {7}, {12, 15}, {15, 7}, {15, 7}, {16, 13, 7}, {15, 5, 7}]",0.653,93.95,41.915,1.0,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
1,"(None, 5, 5)",NoTargetStatesError,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,1","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,sync_536,del_719,add_1",1,"[{11, 1, 3, 7}, {9, 12}, {16, 14}, {12, 15}, {16, 1}, {7}, {12, 15}, {3, 5}, {16, 13, 7}, {9, 12, 5, 15}]","[{11, 1, 3, 7}, {7}, {7}, {16, 7}, {7}, {12, 15}, {15, 7}, {15, 7}, {16, 13, 7}, {15, 5, 7}]",0.653,93.95,41.915,1.0,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
1,"(None, 10, 5)",NoTargetStatesError,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,1","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,sync_536,del_719,add_1",1,"[{11, 1, 3, 7}, {9, 12}, {16, 14}, {12, 15}, {16, 1}, {7}, {12, 15}, {3, 5}, {16, 13, 7}, {9, 12, 5, 15}]","[{11, 1, 3, 7}, {7}, {7}, {16, 7}, {7}, {12, 15}, {15, 7}, {15, 7}, {16, 13, 7}, {15, 5, 7}]",0.653,93.95,41.915,1.0,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
2,"(None, 1, 0)",good,"154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,244","154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,2144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_154,sync_799,sync_1341,sync_65,sync_172,sync_214,sync_184,sync_536,sync_1463,sync_598,sync_274,sync_1510,sync_1034,sync_207,sync_540,sync_412,sync_2475,sync_1616,add_2144,del_244",1,"[{3, 13}, {3, 13}, {3, 5}, {3}, {2, 3}, {3, 13}, {3, 14}, {3}, {3}, {3, 13, 7}]","[{0, 5, 7}, {0, 5, 7}, {0, 5, 7}, {7}, {7}, {0, 1, 7, 14, 16}, {13, 7}, {7}, {7}, {7}]",0.324,86.202,2.809,2.665,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
2,"(None, 10, 0)",bad,"154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,244","154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,1895,2750,3426,2158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_154,sync_799,sync_1341,sync_65,sync_172,sync_214,sync_184,sync_536,sync_1463,sync_598,sync_274,sync_1510,sync_1034,sync_207,sync_540,add_1895,del_412,add_2750,del_2475,add_3426,del_1616,add_2158,del_244",4,"[{3, 13}, {3, 13}, {3, 5}, {3}, {2, 3}, {3, 13}, {3, 14}, {3}, {3}, {3, 13, 7}]","[{8, 3, 14, 7}, {13, 7}, {13, 7}, {13, 7}, {7}, {13, 7}, {7}, {7}, {7}, {7}]",0.996,86.202,186.483,2.601,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
2,"(None, 1, 5)",bad,"154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,244","154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,1161,540,412,2475,1616,244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_154,sync_799,sync_1341,sync_65,sync_172,sync_214,sync_184,sync_536,sync_1463,sync_598,sync_274,sync_1510,sync_1034,add_1161,del_207,sync_540,sync_412,sync_2475,sync_1616,sync_244",1,"[{3, 13}, {3, 13}, {3, 5}, {3}, {2, 3}, {3, 13}, {3, 14}, {3}, {3}, {3, 13, 7}]","[{3}, {3}, {3, 13}, {3, 13}, {2, 3}, {3, 13}, {3, 13, 7}, {3, 7}, {3, 6}, {3}]",0.929,86.202,11.936,2.419,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
2,"(None, 5, 5)",bad,"154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,244","154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,1161,540,412,2475,1616,244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_154,sync_799,sync_1341,sync_65,sync_172,sync_214,sync_184,sync_536,sync_1463,sync_598,sync_274,sync_1510,sync_1034,add_1161,del_207,sync_540,sync_412,sync_2475,sync_1616,sync_244",1,"[{3, 13}, {3, 13}, {3, 5}, {3}, {2, 3}, {3, 13}, {3, 14}, {3}, {3}, {3, 13, 7}]","[{3}, {3}, {3, 13}, {3, 13}, {2, 3}, {3, 13}, {3, 13, 7}, {3, 7}, {3, 6}, {3}]",0.929,86.202,92.428,2.491,False,True,BERT4Rec,ml-1m,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 14:22:01"
